Age (groups),Attrition,BusinessTravel,Department,Sum of DistanceFromHome (KM),Sum of Actual years at company,Sum of Age,EducationField,EducationLevelID,EmployeeID,Ethnicity,FirstName,Gender,Year,Quarter,Month,Day,JobRole,LastName,MaritalStatus,OverTime,Sum of Salary,Salary (grouping),State,Sum of StockOptionLevel,Sum of YearsAtCompany,Sum of YearsInMostRecentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager,DistanceFromHome (KM) (bins)
18 to 29,No,Some Travel,Sales,32,3.01,23,Economics,3,7A1F-F1A3,White,Dunstan,Male,2019,Qtr 4,December,30,Sales Executive,Whife,Single,No,84558,B- 70K to 150K,CA,0,3,3,3,2,23
18 to 29,No,Some Travel,Sales,9,0.53,18,Economics,3,AAD3-BCC1,White,Nikita,Prefer Not To Say,2022,Qtr 2,June,19,Sales Executive,Pettis,Single,No,74515,B- 70K to 150K,IL,0,0,0,0,0,1
18 to 29,No,Some Travel,Sales,44,7.17,28,Economics,3,AD8F-7539,White,Leta,Female,2015,Qtr 4,November,1,Sales Executive,Possel,Married,Yes,304858,Over 300K,CA,1,7,5,7,2,34
18 to 29,No,Some Travel,Sales,10,1.26,21,Economics,3,BBEF-AC35,White,Ros,Female,2021,Qtr 3,September,27,Sales Executive,Dines,Divorced,No,60769,A- 20K to 70K,NY,1,1,1,1,1,1
18 to 29,No,Some Travel,Sales,4,6.53,24,Economics,3,DAE0-B44F,Mixed or multiple ethnic groups,Karlotta,Female,2016,Qtr 2,June,23,Sales Executive,Hackwell,Married,No,133274,B- 70K to 150K,CA,1,6,2,3,1,1
18 to 29,No,Some Travel,Sales,2,6.15,25,Economics,4,3D9E-FB05,Black or African American,Raynor,Male,2016,Qtr 4,November,8,Sales Executive,Deane,Married,No,75555,B- 70K to 150K,CA,1,6,5,6,4,1
18 to 29,No,Some Travel,Sales,8,4.73,23,Economics,4,41A7-9C19,Mixed or multiple ethnic groups,Ginevra,Female,2018,Qtr 2,April,10,Sales Executive,Edson,Married,No,78937,B- 70K to 150K,NY,1,4,0,3,0,1
18 to 29,No,Some Travel,Sales,41,2.51,22,Economics,4,576B-6628,White,Bing,Male,2020,Qtr 2,June,27,Sales Representative,O'Heyne,Married,No,22778,A- 20K to 70K,CA,1,2,0,2,2,34
18 to 29,No,Some Travel,Sales,43,0.9,18,Economics,4,A12D-DAF8,White,Aurelie,Female,2022,Qtr 1,February,6,Sales Executive,Littlejohn,Single,No,41708,A- 20K to 70K,CA,0,0,0,0,0,34
18 to 29,No,Some Travel,Sales,19,4.95,23,Economics,4,BBD0-FB7D,Mixed or multiple ethnic groups,Edin,Female,2018,Qtr 1,January,19,Sales Executive,Savill,Divorced,No,87629,B- 70K to 150K,NY,2,4,4,4,1,12
18 to 29,No,Some Travel,Sales,18,2.12,21,Economics,4,E2A0-930A,White,Federica,Female,2020,Qtr 4,November,19,Sales Executive,Killiner,Single,No,49374,A- 20K to 70K,IL,0,2,2,2,1,12
18 to 29,No,Some Travel,Sales,17,6.16,26,Economics,4,F58A-302D,Black or African American,Travers,Male,2016,Qtr 4,November,5,Manager,Outhwaite,Divorced,No,290774,D- 225K to 300K,IL,1,6,5,5,3,12
18 to 29,No,Some Travel,Sales,39,3.85,29,Marketing,1,2A9F-6BD2,White,Murdock,Male,2019,Qtr 1,February,25,Sales Executive,Shayes,Divorced,Yes,183768,C- 150K to 225K,NY,1,3,3,3,0,34
18 to 29,No,Some Travel,Sales,5,1.39,19,Marketing,1,2BE9-93DB,White,Walden,Male,2021,Qtr 3,August,9,Sales Executive,Hartigan,Single,No,53387,A- 20K to 70K,CA,0,1,0,1,1,1
18 to 29,No,Some Travel,Sales,15,0.32,19,Marketing,1,30CC-0FDE,White,Ilyssa,Female,2022,Qtr 3,September,6,Sales Representative,Jacks,Single,No,44782,A- 20K to 70K,NY,0,0,0,0,0,12
18 to 29,No,Some Travel,Sales,3,5.27,25,Marketing,1,63D2-F412,White,Bab,Female,2017,Qtr 3,September,26,Sales Executive,Antonelli,Married,Yes,58631,A- 20K to 70K,CA,3,5,4,4,3,1
18 to 29,No,Some Travel,Sales,24,7.73,26,Marketing,1,6A8B-EC82,American Indian or Alaska Native,Averill,Male,2015,Qtr 2,April,11,Sales Executive,Dwyr,Single,Yes,82312,B- 70K to 150K,CA,0,7,2,7,6,23
18 to 29,No,Some Travel,Sales,29,5.73,26,Marketing,1,8078-6154,White,Hattie,Female,2017,Qtr 2,April,9,Manager,Algeo,Married,No,172070,C- 150K to 225K,NY,1,5,4,4,3,23
18 to 29,No,Some Travel,Sales,25,6.97,24,Marketing,1,8A5B-3D6E,Mixed or multiple ethnic groups,Konstanze,Female,2016,Qtr 1,January,14,Sales Executive,Scrammage,Divorced,Yes,105383,B- 70K to 150K,NY,2,6,6,6,5,23
18 to 29,No,Some Travel,Sales,15,0.73,25,Marketing,1,AA6C-B0D6,White,Benedick,Male,2022,Qtr 2,April,7,Sales Executive,Lovekin,Married,No,118961,B- 70K to 150K,NY,1,0,0,0,0,12
18 to 29,No,Some Travel,Sales,31,0.64,22,Marketing,1,CAA0-3971,White,Ives,Male,2022,Qtr 2,May,13,Sales Executive,Cranston,Single,No,51582,A- 20K to 70K,NY,0,0,0,0,0,23
18 to 29,No,Some Travel,Sales,10,7.2,28,Marketing,1,DFA2-1B8F,Mixed or multiple ethnic groups,Haily,Male,2015,Qtr 4,October,21,Sales Executive,Jordi,Married,No,83864,B- 70K to 150K,NY,2,7,7,7,5,1
18 to 29,No,Some Travel,Sales,3,7.26,26,Marketing,1,EEA0-C109,White,Silvan,Male,2015,Qtr 3,September,29,Sales Executive,Bratcher,Married,No,56892,A- 20K to 70K,NY,0,7,1,3,3,1
18 to 29,No,Some Travel,Sales,18,5.23,26,Marketing,2,16B6-9C29,White,Claribel,Female,2017,Qtr 4,October,9,Sales Executive,Hebron,Single,No,62868,A- 20K to 70K,CA,0,5,2,4,0,12
18 to 29,No,Some Travel,Sales,16,7.02,26,Marketing,2,246E-3383,Black or African American,Jamesy,Male,2015,Qtr 4,December,25,Sales Executive,Barnardo,Single,No,113512,B- 70K to 150K,CA,0,7,3,7,6,12
18 to 29,No,Some Travel,Sales,9,2.48,23,Marketing,2,3F25-EF5E,White,Tybalt,Male,2020,Qtr 3,July,10,Sales Representative,Horlick,Married,No,33750,A- 20K to 70K,NY,1,2,0,2,0,1
18 to 29,No,Some Travel,Sales,29,0.54,29,Marketing,2,422B-53AC,White,Otis,Non-Binary,2022,Qtr 2,June,16,Sales Executive,Liquorish,Single,Yes,134537,B- 70K to 150K,CA,0,0,0,0,0,23
18 to 29,No,Some Travel,Sales,44,5.57,25,Marketing,2,4563-8637,Mixed or multiple ethnic groups,Vernor,Male,2017,Qtr 2,June,7,Sales Executive,Farrell,Married,No,75635,B- 70K to 150K,CA,2,5,2,2,5,34
18 to 29,No,Some Travel,Sales,24,7.45,28,Marketing,2,4673-EBEC,Mixed or multiple ethnic groups,Ollie,Male,2015,Qtr 3,July,23,Sales Executive,Chellam,Married,No,78735,B- 70K to 150K,NY,1,7,0,2,4,23
18 to 29,No,Some Travel,Sales,43,0.35,19,Marketing,2,6725-A678,White,Gus,Male,2022,Qtr 3,August,26,Sales Executive,Redhouse,Single,No,61811,A- 20K to 70K,CA,1,0,0,0,0,34
18 to 29,No,Some Travel,Sales,41,6.56,24,Marketing,2,6E61-A2BA,Mixed or multiple ethnic groups,Adelaide,Non-Binary,2016,Qtr 2,June,10,Sales Executive,Somner,Divorced,No,111750,B- 70K to 150K,CA,1,6,4,6,2,34
18 to 29,No,Some Travel,Sales,32,2.91,25,Marketing,2,8182-6AE6,White,Wandis,Female,2020,Qtr 1,February,3,Sales Executive,Needs,Married,Yes,82357,B- 70K to 150K,NY,1,2,2,2,2,23
18 to 29,No,Some Travel,Sales,26,5.95,23,Marketing,2,924E-1035,Native Hawaiian,Scot,Male,2017,Qtr 1,January,19,Sales Executive,Gamlen,Single,Yes,58345,A- 20K to 70K,NY,0,5,4,4,4,23
18 to 29,No,Some Travel,Sales,3,7.45,28,Marketing,2,B492-D447,Asian or Asian American,Aurthur,Male,2015,Qtr 3,July,21,Sales Executive,Rittelmeyer,Married,No,128719,B- 70K to 150K,CA,1,7,1,3,6,1
18 to 29,No,Some Travel,Sales,45,7.39,28,Marketing,2,B59D-CA4C,Asian or Asian American,Ichabod,Male,2015,Qtr 3,August,14,Sales Executive,Mabbot,Married,No,110057,B- 70K to 150K,CA,2,7,5,5,4,34
18 to 29,No,Some Travel,Sales,5,6.88,25,Marketing,2,C1E8-5AAB,Black or African American,Pierce,Male,2016,Qtr 1,February,13,Sales Executive,Abadam,Divorced,No,69539,A- 20K to 70K,NY,2,6,0,4,4,1
18 to 29,No,Some Travel,Sales,17,2.98,24,Marketing,2,E071-137E,White,Isacco,Male,2020,Qtr 1,January,8,Sales Representative,Halden,Married,No,63234,A- 20K to 70K,IL,1,2,1,2,2,12
18 to 29,No,Some Travel,Sales,34,6.12,27,Marketing,2,E81C-A653,White,Letta,Female,2016,Qtr 4,November,17,Sales Executive,Leyban,Married,No,129366,B- 70K to 150K,CA,1,6,0,5,0,34
18 to 29,No,Some Travel,Sales,16,5.92,24,Marketing,2,EFB8-ED99,White,Jilli,Female,2017,Qtr 1,January,29,Sales Executive,Allsupp,Single,Yes,43158,A- 20K to 70K,CA,0,5,0,5,5,12
18 to 29,No,Some Travel,Sales,42,6.47,26,Marketing,3,09D2-46BD,White,Karyl,Female,2016,Qtr 3,July,12,Sales Executive,Ponten,Married,Yes,92364,B- 70K to 150K,CA,1,6,4,5,6,34
18 to 29,No,Some Travel,Sales,33,4.44,24,Marketing,3,0AF4-EC15,Native Hawaiian,Gwenore,Female,2018,Qtr 3,July,23,Sales Executive,Bernucci,Single,No,91915,B- 70K to 150K,CA,0,4,0,4,4,23
18 to 29,No,Some Travel,Sales,12,4.3,25,Marketing,3,0FE8-B881,Asian or Asian American,Rockie,Male,2018,Qtr 3,September,14,Sales Executive,Iseton,Divorced,No,118048,B- 70K to 150K,IL,2,4,4,4,3,12
18 to 29,No,Some Travel,Sales,22,4.28,24,Marketing,3,12A7-AFD6,Mixed or multiple ethnic groups,Garrek,Non-Binary,2018,Qtr 3,September,19,Sales Executive,Riditch,Married,Yes,53530,A- 20K to 70K,CA,0,4,3,3,1,12
18 to 29,No,Some Travel,Sales,5,6.53,26,Marketing,3,1C6F-87AA,White,Jolene,Non-Binary,2016,Qtr 2,June,23,Sales Executive,Stenet,Married,No,107966,B- 70K to 150K,NY,2,6,6,6,6,1
18 to 29,No,Some Travel,Sales,9,0.8,19,Marketing,3,28CA-379D,White,Adorne,Female,2022,Qtr 1,March,14,Sales Representative,Beatens,Single,No,21506,A- 20K to 70K,CA,2,0,0,0,0,1
18 to 29,No,Some Travel,Sales,16,4.37,24,Marketing,3,2937-EB65,Mixed or multiple ethnic groups,Jarred,Male,2018,Qtr 3,August,20,Sales Executive,Stoddard,Single,No,116132,B- 70K to 150K,CA,0,4,1,4,1,12
18 to 29,No,Some Travel,Sales,4,5.37,25,Marketing,3,3992-22AD,Other,Kristal,Female,2017,Qtr 3,August,19,Sales Executive,le Keux,Single,No,48917,A- 20K to 70K,CA,0,5,2,4,3,1
18 to 29,No,Some Travel,Sales,8,3.67,29,Marketing,3,4304-4B4E,White,Lonni,Female,2019,Qtr 2,April,30,Sales Executive,McConnel,Married,No,163950,C- 150K to 225K,NY,1,3,3,3,0,1
18 to 29,No,Some Travel,Sales,42,1.9,28,Marketing,3,56FC-5C6E,White,Donovan,Male,2021,Qtr 1,February,5,Sales Executive,Sycamore,Married,No,128192,B- 70K to 150K,CA,1,1,1,1,0,34
18 to 29,No,Some Travel,Sales,39,5.16,26,Marketing,3,5A78-0F17,Black or African American,Wilfred,Male,2017,Qtr 4,November,3,Sales Executive,Jasik,Married,No,104176,B- 70K to 150K,CA,1,5,2,3,3,34
18 to 29,No,Some Travel,Sales,11,4.48,25,Marketing,3,648E-FE5F,Black or African American,Tabb,Male,2018,Qtr 3,July,11,Sales Executive,McInnes,Single,No,58914,A- 20K to 70K,CA,0,4,0,1,0,1
18 to 29,No,Some Travel,Sales,36,4.78,22,Marketing,3,72A2-1105,Black or African American,Mollee,Female,2018,Qtr 1,March,21,Sales Executive,Hartop,Single,No,60699,A- 20K to 70K,NY,0,4,0,3,0,34
18 to 29,No,Some Travel,Sales,16,3.21,22,Marketing,3,84D8-1A04,White,Adara,Female,2019,Qtr 4,October,17,Sales Executive,Sleeford,Married,No,48432,A- 20K to 70K,NY,1,3,0,0,3,12
18 to 29,No,Some Travel,Sales,7,7.2,27,Marketing,3,993B-186B,Black or African American,Lewiss,Male,2015,Qtr 4,October,21,Sales Executive,Janosevic,Married,No,73918,B- 70K to 150K,CA,1,7,3,4,1,1
18 to 29,No,Some Travel,Sales,8,10.67,28,Marketing,3,9D7B-9B37,Mixed or multiple ethnic groups,Eleanor,Female,2012,Qtr 2,May,4,Sales Executive,Hillen,Married,Yes,194964,C- 150K to 225K,CA,1,10,2,2,8,1
18 to 29,No,Some Travel,Sales,16,1.68,27,Marketing,3,9E87-533E,White,Cindi,Female,2021,Qtr 2,April,25,Manager,Dudgeon,Single,No,225831,D- 225K to 300K,CA,1,1,1,1,0,12
18 to 29,No,Some Travel,Sales,7,3.22,24,Marketing,3,A0EC-C4AE,White,Eleanora,Female,2019,Qtr 4,October,14,Sales Executive,Issacoff,Married,No,106586,B- 70K to 150K,NY,1,3,1,3,3,1
18 to 29,No,Some Travel,Sales,38,7.32,25,Marketing,3,AC19-7EE7,Mixed or multiple ethnic groups,Aube,Male,2015,Qtr 3,September,7,Sales Executive,Bassill,Divorced,Yes,86485,B- 70K to 150K,NY,1,7,6,6,0,34
18 to 29,No,Some Travel,Sales,29,5.88,24,Marketing,3,D457-AB87,Mixed or multiple ethnic groups,Geoffrey,Male,2017,Qtr 1,February,13,Sales Executive,Bambery,Married,No,105859,B- 70K to 150K,CA,2,5,5,5,3,23
18 to 29,No,Some Travel,Sales,7,6.51,26,Marketing,3,D5B3-425C,Black or African American,Lenard,Male,2016,Qtr 2,June,30,Sales Representative,Bouts,Single,No,36101,A- 20K to 70K,CA,0,6,6,6,6,1
18 to 29,No,Some Travel,Sales,32,4.55,22,Marketing,3,E6F7-EF68,Mixed or multiple ethnic groups,Joaquin,Male,2018,Qtr 2,June,14,Sales Executive,Bockmann,Married,No,52318,A- 20K to 70K,NY,1,4,4,4,0,23
18 to 29,No,Some Travel,Sales,5,4.75,23,Marketing,3,EA37-AE5E,White,Freda,Female,2018,Qtr 2,April,4,Sales Executive,Bartolijn,Married,No,69678,A- 20K to 70K,IL,1,4,0,0,2,1
18 to 29,No,Some Travel,Sales,16,1.73,22,Marketing,3,F573-D043,White,Alice,Female,2021,Qtr 2,April,8,Sales Executive,Brabon,Single,No,70202,B- 70K to 150K,CA,0,1,0,0,0,12
18 to 29,No,Some Travel,Sales,43,1.25,21,Marketing,3,F852-C94D,White,Arni,Male,2021,Qtr 4,October,1,Sales Executive,Maciunas,Single,No,47553,A- 20K to 70K,NY,0,1,1,1,0,34
18 to 29,No,Some Travel,Sales,7,2.83,23,Marketing,4,0317-B7BC,White,Ronni,Female,2020,Qtr 1,March,3,Sales Executive,Beechcraft,Married,Yes,72622,B- 70K to 150K,IL,0,2,0,2,0,1
18 to 29,No,Some Travel,Sales,17,1.99,29,Marketing,4,04E6-6B61,White,Rodd,Male,2021,Qtr 1,January,4,Sales Executive,Haddow,Single,No,140158,B- 70K to 150K,CA,0,1,0,1,1,12
18 to 29,No,Some Travel,Sales,18,0.88,18,Marketing,4,078A-E0F5,White,Antonino,Male,2022,Qtr 1,February,11,Sales Executive,Gillcrist,Single,No,52198,A- 20K to 70K,CA,0,0,0,0,0,12
18 to 29,No,Some Travel,Sales,36,1.76,26,Marketing,4,1787-DF90,White,Michail,Male,2021,Qtr 1,March,30,Sales Representative,Pimblotte,Married,Yes,70455,B- 70K to 150K,IL,2,1,1,1,1,34
18 to 29,No,Some Travel,Sales,28,4.69,25,Marketing,4,1DC4-97CF,White,Karee,Female,2018,Qtr 2,April,24,Sales Executive,Cristofvao,Single,No,167051,C- 150K to 225K,CA,0,4,3,4,1,23
18 to 29,No,Some Travel,Sales,19,0.56,21,Marketing,4,26A0-5791,White,Hayden,Male,2022,Qtr 2,June,8,Sales Representative,Yokelman,Married,Yes,22696,A- 20K to 70K,NY,1,0,0,0,0,12
18 to 29,No,Some Travel,Sales,27,6.93,24,Marketing,4,3F0C-41A7,Mixed or multiple ethnic groups,Mendie,Male,2016,Qtr 1,January,27,Sales Executive,Readie,Single,No,79828,B- 70K to 150K,CA,0,6,2,3,0,23
18 to 29,No,Some Travel,Sales,30,4.65,25,Marketing,4,425F-4D2D,Mixed or multiple ethnic groups,Kimberlyn,Female,2018,Qtr 2,May,10,Sales Executive,Preston,Divorced,Yes,57742,A- 20K to 70K,CA,2,4,3,4,1,23
18 to 29,No,Some Travel,Sales,37,0.77,18,Marketing,4,4626-5168,White,Tades,Male,2022,Qtr 1,March,25,Sales Representative,Haggith,Single,No,32480,A- 20K to 70K,CA,0,0,0,0,0,34
18 to 29,No,Some Travel,Sales,4,0.78,18,Marketing,4,46E1-5086,White,Herculie,Non-Binary,2022,Qtr 1,March,23,Sales Executive,Wasielewicz,Single,Yes,74515,B- 70K to 150K,NY,3,0,0,0,0,1
18 to 29,No,Some Travel,Sales,40,4.33,23,Marketing,4,4875-109B,White,Molly,Female,2018,Qtr 3,September,3,Sales Executive,Lawdham,Married,Yes,52039,A- 20K to 70K,IL,0,4,1,1,0,34
18 to 29,No,Some Travel,Sales,9,3.36,24,Marketing,4,4FAC-96CB,White,Dwayne,Male,2019,Qtr 3,August,23,Sales Executive,Sturror,Divorced,No,110542,B- 70K to 150K,CA,1,3,3,3,2,1
18 to 29,No,Some Travel,Sales,43,7.2,28,Marketing,4,533B-938D,Mixed or multiple ethnic groups,Morris,Male,2015,Qtr 4,October,20,Sales Executive,Bente,Divorced,No,157549,C- 150K to 225K,NY,1,7,0,0,3,34
18 to 29,No,Some Travel,Sales,41,6.73,26,Marketing,4,5395-75A1,Asian or Asian American,Ludwig,Male,2016,Qtr 2,April,11,Sales Executive,Ferrara,Single,No,61238,A- 20K to 70K,NY,0,6,4,6,3,34
18 to 29,No,Some Travel,Sales,4,6.21,27,Marketing,4,566A-FC64,Asian or Asian American,Loria,Female,2016,Qtr 4,October,15,Manager,Pursey,Divorced,No,255718,D- 225K to 300K,CA,3,6,0,5,4,1
18 to 29,No,Some Travel,Sales,38,9.96,29,Marketing,4,67ED-A630,Asian or Asian American,Adan,Male,2013,Qtr 1,January,17,Sales Executive,Fradgley,Married,No,102061,B- 70K to 150K,CA,1,9,5,9,5,34
18 to 29,No,Some Travel,Sales,21,5.91,23,Marketing,4,6A67-EC2C,White,Fionnula,Female,2017,Qtr 1,February,4,Sales Executive,Charsley,Single,No,37626,A- 20K to 70K,CA,0,5,4,4,2,12
18 to 29,No,Some Travel,Sales,29,4.64,25,Marketing,4,6BE1-09FB,White,Dino,Male,2018,Qtr 2,May,14,Sales Executive,Bragge,Married,No,95643,B- 70K to 150K,CA,1,4,0,3,1,23
18 to 29,No,Some Travel,Sales,12,4.21,23,Marketing,4,7A5A-CC91,Black or African American,Anabal,Female,2018,Qtr 4,October,17,Sales Executive,Parkhouse,Single,No,45024,A- 20K to 70K,NY,0,4,0,1,0,12
18 to 29,No,Some Travel,Sales,14,7.48,26,Marketing,4,8292-6635,White,Hy,Male,2015,Qtr 3,July,11,Sales Executive,Goodin,Single,No,127450,B- 70K to 150K,IL,0,7,0,0,1,12
18 to 29,No,Some Travel,Sales,36,1.3,21,Marketing,4,86F7-CA91,White,Katlin,Female,2021,Qtr 3,September,11,Sales Executive,Callar,Divorced,No,37035,A- 20K to 70K,CA,3,1,1,1,1,34
18 to 29,No,Some Travel,Sales,12,7.77,25,Marketing,4,8E5B-CBBF,Asian or Asian American,Creigh,Male,2015,Qtr 1,March,28,Sales Executive,Lissaman,Divorced,No,67814,A- 20K to 70K,NY,0,7,6,7,1,12
18 to 29,No,Some Travel,Sales,4,1.01,19,Marketing,4,8E8F-DDC8,White,Christoffer,Male,2021,Qtr 4,December,28,Sales Executive,Peaple,Single,Yes,38726,A- 20K to 70K,IL,1,1,0,0,1,1
18 to 29,No,Some Travel,Sales,44,6.95,27,Marketing,4,A11D-324A,Black or African American,Yorgo,Male,2016,Qtr 1,January,22,Manager,Ferrolli,Married,No,152147,C- 150K to 225K,CA,1,6,6,6,6,34
18 to 29,No,Some Travel,Sales,14,9.55,29,Marketing,4,AB81-A3A0,White,Jerrome,Male,2013,Qtr 2,June,14,Sales Executive,Furney,Married,No,96319,B- 70K to 150K,CA,2,9,1,4,5,12
18 to 29,No,Some Travel,Sales,16,4.51,24,Marketing,4,ACB2-6640,White,Julee,Female,2018,Qtr 2,June,29,Sales Executive,Corfield,Divorced,No,75250,B- 70K to 150K,CA,1,4,0,0,0,12
18 to 29,No,Some Travel,Sales,17,7.63,26,Marketing,4,ACF7-5B99,Asian or Asian American,Janeczka,Female,2015,Qtr 2,May,16,Sales Executive,Osmond,Single,Yes,97811,B- 70K to 150K,CA,0,7,3,6,4,12
18 to 29,No,Some Travel,Sales,19,6.34,27,Marketing,4,AF11-04C3,American Indian or Alaska Native,Joni,Female,2016,Qtr 3,August,30,Manager,Byre,Married,No,149813,B- 70K to 150K,CA,0,6,0,1,1,12
18 to 29,No,Some Travel,Sales,1,10.64,28,Marketing,4,B1EC-849B,White,Paule,Female,2012,Qtr 2,May,13,Sales Executive,Mapplebeck,Married,No,87039,B- 70K to 150K,CA,1,10,3,5,4,1
18 to 29,No,Some Travel,Sales,8,4.41,24,Marketing,4,C6F6-CDFE,White,Faythe,Female,2018,Qtr 3,August,4,Sales Representative,Ephson,Married,No,50513,A- 20K to 70K,CA,1,4,0,4,1,1
18 to 29,No,Some Travel,Sales,38,0.39,19,Marketing,4,D8E6-5593,White,Pammy,Non-Binary,2022,Qtr 3,August,9,Sales Representative,Glenny,Single,Yes,51132,A- 20K to 70K,CA,0,0,0,0,0,34
18 to 29,No,Some Travel,Sales,22,1.23,19,Marketing,4,DD00-92BB,White,Clementia,Non-Binary,2021,Qtr 4,October,9,Sales Executive,Beswick,Single,No,46813,A- 20K to 70K,CA,0,1,0,0,1,12
18 to 29,No,Some Travel,Sales,9,0.52,18,Marketing,4,E368-3CF3,White,Reinaldos,Male,2022,Qtr 2,June,24,Sales Representative,LAbbet,Single,No,61582,A- 20K to 70K,IL,0,0,0,0,0,1
18 to 29,No,Some Travel,Sales,31,5.3,24,Marketing,4,E399-E4F6,American Indian or Alaska Native,Edan,Male,2017,Qtr 3,September,12,Sales Executive,Fechnie,Married,No,105502,B- 70K to 150K,CA,2,5,2,5,2,23
18 to 29,No,Some Travel,Sales,32,7.15,28,Marketing,4,E46A-3676,White,Kele,Male,2015,Qtr 4,November,7,Sales Executive,Halsworth,Divorced,No,128222,B- 70K to 150K,CA,2,7,6,7,1,23
18 to 29,No,Some Travel,Sales,11,0.33,26,Marketing,4,E496-0D9E,White,Waldon,Male,2022,Qtr 3,August,31,Sales Executive,Heyball,Single,No,63478,A- 20K to 70K,CA,1,0,0,0,0,1
18 to 29,No,Some Travel,Sales,4,0,21,Marketing,4,EBF4-5928,Black or African American,Rudolph,Male,2022,Qtr 4,December,30,Sales Executive,MacDearmont,Single,No,63375,A- 20K to 70K,CA,0,0,0,0,0,1
18 to 29,No,Some Travel,Sales,18,9.35,28,Marketing,4,ED49-73D3,White,Carita,Female,2013,Qtr 3,August,28,Sales Executive,Frazier,Single,Yes,134427,B- 70K to 150K,IL,0,9,9,9,2,12
18 to 29,No,Some Travel,Sales,23,2.22,23,Marketing,4,F126-8059,White,Wally,Male,2020,Qtr 4,October,13,Sales Executive,Dowse,Divorced,No,53590,A- 20K to 70K,NY,2,2,0,2,0,23
18 to 29,No,Some Travel,Sales,21,3.62,21,Marketing,4,F2BA-F63A,Black or African American,Delbert,Male,2019,Qtr 2,May,20,Sales Representative,Holby,Married,No,33641,A- 20K to 70K,IL,2,3,0,3,1,12
18 to 29,No,Some Travel,Sales,30,6.75,25,Marketing,4,F5CC-33FA,White,Ilario,Male,2016,Qtr 2,April,2,Sales Executive,Stearne,Married,No,106738,B- 70K to 150K,CA,1,6,4,5,2,23
18 to 29,No,Some Travel,Sales,27,6.91,27,Marketing,5,259B-6C50,Other,Raddie,Male,2016,Qtr 1,February,3,Sales Executive,Ballance,Divorced,Yes,45880,A- 20K to 70K,CA,1,6,1,4,0,23
18 to 29,No,Some Travel,Sales,17,2.85,27,Marketing,5,A072-D80B,White,Corbett,Male,2020,Qtr 1,February,24,Sales Executive,Weippert,Married,No,81294,B- 70K to 150K,CA,1,2,2,2,2,12
18 to 29,No,Some Travel,Sales,31,7.37,27,Marketing,5,B102-5713,Mixed or multiple ethnic groups,Adlai,Non-Binary,2015,Qtr 3,August,19,Manager,Pettit,Single,No,205622,C- 150K to 225K,CA,0,7,5,5,3,23
18 to 29,No,Some Travel,Sales,7,7.17,28,Marketing,5,B44E-8AEE,White,Carlynn,Female,2015,Qtr 4,November,1,Sales Executive,Bartolic,Married,No,181164,C- 150K to 225K,CA,1,7,5,6,1,1
18 to 29,No,Some Travel,Sales,43,0.03,23,Marketing,5,CABE-0B62,Black or African American,Laura,Female,2022,Qtr 4,December,21,Sales Executive,Janiak,Single,No,121414,B- 70K to 150K,CA,0,0,0,0,0,34
18 to 29,No,Some Travel,Sales,43,0.44,20,Marketing,5,D051-2C2D,White,Welby,Non-Binary,2022,Qtr 3,July,25,Sales Executive,Chansonnau,Married,No,39145,A- 20K to 70K,CA,1,0,0,0,0,34
18 to 29,No,Some Travel,Sales,22,1.87,22,Other,1,B0C2-0E3D,White,Cindy,Female,2021,Qtr 1,February,18,Sales Executive,Mordanti,Married,Yes,48698,A- 20K to 70K,CA,0,1,0,1,1,12
18 to 29,No,Some Travel,Sales,1,2.47,23,Other,2,1E2C-A267,White,Gerick,Male,2020,Qtr 3,July,12,Sales Executive,Archibould,Married,No,65489,A- 20K to 70K,CA,1,2,0,1,1,1
18 to 29,No,Some Travel,Sales,25,1.61,22,Other,3,B0B9-19C6,White,Lorna,Female,2021,Qtr 2,May,22,Sales Executive,Kuzma,Married,No,48716,A- 20K to 70K,CA,1,1,1,1,1,23
18 to 29,No,Some Travel,Sales,19,4.92,23,Other,3,EE7E-F5AC,White,Nonna,Female,2018,Qtr 1,January,30,Sales Representative,Bagnold,Single,No,27185,A- 20K to 70K,CA,0,4,4,4,0,12
18 to 29,No,Some Travel,Sales,44,4.69,25,Technical Degree,1,994A-5F84,White,Vance,Male,2018,Qtr 2,April,23,Sales Representative,Norsworthy,Single,No,37461,A- 20K to 70K,CA,0,4,3,4,3,34
18 to 29,No,Some Travel,Sales,33,3.01,24,Technical Degree,1,BC5E-3B7B,White,Farra,Non-Binary,2019,Qtr 4,December,27,Sales Representative,Boffey,Divorced,No,24174,A- 20K to 70K,CA,1,3,2,2,1,23
18 to 29,No,Some Travel,Sales,39,2.76,20,Technical Degree,2,017D-0B97,White,Maison,Male,2020,Qtr 1,March,30,Sales Representative,Werndley,Married,Yes,22558,A- 20K to 70K,CA,1,2,0,1,1,34
18 to 29,No,Some Travel,Sales,1,7.18,27,Technical Degree,2,69EC-7B13,Other,Mariska,Female,2015,Qtr 4,October,27,Sales Representative,Iashvili,Single,No,62496,A- 20K to 70K,CA,0,7,6,6,1,1
18 to 29,No,Some Travel,Sales,42,7.82,27,Technical Degree,2,E523-D168,Other,Sheffield,Male,2015,Qtr 1,March,10,Sales Executive,Feldon,Married,Yes,68638,A- 20K to 70K,CA,0,7,7,7,0,34
